animal_id,animal_name,animal_type,primary_color,secondary_color,sex,dob,intake_date,intake_condition,intake_type,intake_subtype,reason_for_intake,outcome_date,crossing,jurisdiction,outcome_type,outcome_subtype,latitude,longitude,intake_is_dead,outcome_is_dead,was_outcome_alive,geopoint
A629539,a629539*gator,cat,gray tabby,white,Neutered,2016-07-08,2019-07-08,fractious,stray,field,NA,2019-07-25,"18800 JEFFREY AVE, CERRITOS, CA 90703",Cerritos,"shelter, neuter, return",straycatal,33.8611671,-118.0543555,Alive on Intake,FALSE,1,"33.8611671, -118.0543555"
A654476,*huxley,cat,black,NA,Spayed,2019-02-28,2021-02-28,normal,stray,otc,NA,2021-03-05,"1000 BLK LEWIS AVE, LONG BEACH, CA 90813",Long Beach,transfer,spcala,33.7789754,-118.1795513,Alive on Intake,FALSE,1,"33.7789754, -118.1795513"
A627468,*proper,cat,brown  tabby,NA,Spayed,2017-06-01,2019-06-01,normal,stray,otc,NA,2020-04-03,"18830 SAN GABRIEL AVE, CERRITOS, CA 90703",Cerritos,adoption,pfe/pawshp,33.859798,-118.1037866,Alive on Intake,FALSE,1,"33.859798, -118.1037866"
A627469,*lady linda,cat,brown  tabby,NA,Spayed,2017-06-01,2019-06-01,normal,stray,otc,NA,2019-12-28,"18830 SAN GABRIEL AVE, CERRITOS, CA 90703",Cerritos,adoption,pfe/pawshp,33.859798,-118.1037866,Alive on Intake,FALSE,1,"33.859798, -118.1037866"
A629096,NA,cat,tortie,NA,Female,2019-06-08,2019-06-29,under age/weight,stray,otc,NA,2019-07-03,"18900 BLK KINGS ROW AVE, CERRITOS, CA 90703",Cerritos,rescue,littlepaws,33.8592985,-118.1046737,Alive on Intake,FALSE,1,"33.8592985, -118.1046737"
A629099,NA,cat,flame point,NA,Male,2019-06-08,2019-06-29,under age/weight,stray,otc,NA,2019-07-03,"18900 BLK KINGS ROW AVE, CERRITOS, CA 90703",Cerritos,rescue,littlepaws,33.8592985,-118.1046737,Alive on Intake,FALSE,1,"33.8592985, -118.1046737"
A698024,*enrique,cat,gray,NA,Male,2023-03-03,2023-05-03,ill mild,stray,otc,NA,2023-05-24,1000 BLK LIME AVE LB CA,Long Beach,transfer,spcala,33.7789839,-118.183959,Alive on Intake,FALSE,1,"33.7789839, -118.183959"
A608628,NA,cat,black,NA,Unknown,2018-05-28,2018-05-29,under age/weight,stray,field,NA,2018-05-29,"18900 BLK VICKIE AVE, CERRITOS, CA 90703",Cerritos,euthanasia,undrage/wt,33.8596528,-118.0527536,Alive on Intake,TRUE,0,"33.8596528, -118.0527536"
A698035,*drake,cat,snowshoe,NA,Male,2023-02-03,2023-05-03,ill mild,stray,otc,NA,2023-05-05,1000 BLK LIME AVE LB CA,Long Beach,died,in care,33.7789839,-118.183959,Alive on Intake,TRUE,0,"33.7789839, -118.183959"
A698028,*avril,cat,brown  tabby,NA,Spayed,2023-03-03,2023-05-03,ill mild,stray,otc,NA,2023-08-09,1000 BLK LIME AVE LB CA,Long Beach,adoption,NA,33.7789839,-118.183959,Alive on Intake,FALSE,1,"33.7789839, -118.183959"
A634990,NA,cat,gray tabby,white,Female,2019-09-19,2019-10-13,under age/weight,stray,otc,NA,2019-10-21,"18900 KINGS ROW AVE, CERRITOS, CA 90703",Cerritos,euthanasia,undrage/wt,33.8592985,-118.1046737,Alive on Intake,TRUE,0,"33.8592985, -118.1046737"
A697840,*big brother,cat,black,white,Neutered,2023-04-16,2023-04-29,under age/weight,stray,otc,NA,2023-05-07,1000 BLK LIME AVE LB CA 90813,Long Beach,rescue,littlepaws,33.7789839,-118.183959,Alive on Intake,FALSE,1,"33.7789839, -118.183959"
A596737,bravo,cat,tortie,NA,Female,2017-03-08,2017-09-08,normal,stray,field,NA,2017-09-09,"18900 STEFANI AVE, CERRITOS, CA 90703",Cerritos,return to owner,walkin,33.8597584,-118.0659632,Alive on Intake,FALSE,1,"33.8597584, -118.0659632"
A596682,olivia,cat,brown  tiger,NA,Spayed,2016-09-07,2017-09-07,normal,stray,field,NA,2017-09-07,"18900 STEFANI AVE, CERRITOS, CA 90703",Cerritos,return to owner,microchip,33.8597584,-118.0659632,Alive on Intake,FALSE,1,"33.8597584, -118.0659632"
A646427,NA,cat,gray tabby,white,Unknown,NA,2020-07-30,ill severe,stray,field,NA,2020-07-30,"18900 STUDEBAKER RD, CERRITOS, CA 90703",Cerritos,died,enroute,33.8598734,-118.0986885,Alive on Intake,TRUE,0,"33.8598734, -118.0986885"
A619382,*catcoon,cat,brown  tabby,NA,Neutered,2013-12-28,2020-10-22,ill severe,stray,field,NA,2020-10-22,"18900 VICKIE AVE, CERRITOS, CA 90703",Cerritos,died,enroute,33.8596528,-118.0527536,Alive on Intake,TRUE,0,"33.8596528, -118.0527536"
A691356,*storm,cat,gray tabby,white,Spayed,2021-01-04,2023-01-03,normal,quarantine,NA,NA,2023-01-19,"1000 BLK LIME AVE, LB 90813",Long Beach,adoption,NA,33.7789839,-118.183959,Alive on Intake,FALSE,1,"33.7789839, -118.183959"
A701355,*maraschino,cat,brown  tabby,white,Male,2023-03-25,2023-06-22,normal,stray,otc,NA,2023-06-24,"1000 BLK LIME AVE, LONG BEACH, CA 90813",Long Beach,rescue,littlepaws,33.7789839,-118.183959,Alive on Intake,FALSE,1,"33.7789839, -118.183959"
A630038,NA,cat,gray tabby,white,Female,2018-07-17,2019-07-17,normal,stray,otc,NA,2019-07-19,"1000 BLK LIME AVE, LONG BEACH, CA 90813",Long Beach,transfer,spcala,33.7789839,-118.183959,Alive on Intake,FALSE,1,"33.7789839, -118.183959"
A647557,NA,cat,brown  tabby,white,Female,2020-07-31,2020-08-21,under age/weight,stray,otc,NA,2020-08-21,"1000 BLK LIME AVE, LONG BEACH, CA 90813",Long Beach,rescue,littlepaws,33.7789839,-118.183959,Alive on Intake,FALSE,1,"33.7789839, -118.183959"
A626505,pita,cat,brown,black,Male,2014-05-17,2019-05-16,normal,owner surrender,otc,no home,2019-05-18,"18946 VICKIE AVE, CERRITOS, CA 90703",Cerritos,transfer,spcala,33.8595517,-118.0525705,Alive on Intake,FALSE,1,"33.8595517, -118.0525705"
A678651,*waffle,cat,gray tabby,NA,Male,2022-06-24,2022-07-01,under age/weight,stray,otc,NA,2022-07-10,"190 BLK W ADAMS ST, LONG BEACH, CA 90805",Long Beach,rescue,catpaws,33.8694657,-118.2050772,Alive on Intake,FALSE,1,"33.8694657, -118.2050772"
A597442,NA,cat,brown  tabby,NA,Male,2017-08-14,2017-09-20,under age/weight,stray,field,NA,2017-09-21,"1000 BLK LIME AVE, LONG BEACH, CA 90813",Long Beach,rescue,littlelion,33.7789839,-118.183959,Alive on Intake,FALSE,1,"33.7789839, -118.183959"
A678648,*pancake,cat,tortie dilute,NA,Female,2022-06-24,2022-07-01,under age/weight,stray,otc,NA,2022-07-10,"190 BLK W ADAMS ST, LONG BEACH, CA 90805",Long Beach,rescue,catpaws,33.8694657,-118.2050772,Alive on Intake,FALSE,1,"33.8694657, -118.2050772"
A596803,*bambi,cat,brown  tabby,NA,Spayed,2013-09-09,2017-09-09,normal,stray,field,NA,2017-10-29,"1000 BLK LIME AVE, LONG BEACH, CA 90813",Long Beach,transfer,spcala,33.7789839,-118.183959,Alive on Intake,FALSE,1,"33.7789839, -118.183959"
A596805,NA,cat,brown  tabby,NA,Unknown,2017-09-08,2017-09-09,under age/weight,stray,field,NA,2017-09-27,"1000 BLK LIME AVE, LONG BEACH, CA 90813",Long Beach,euthanasia,undrage/wt,33.7789839,-118.183959,Alive on Intake,TRUE,0,"33.7789839, -118.183959"
A659599,NA,cat,black,NA,Male,2006-06-28,2021-06-28,injured  severe,stray,field,NA,2021-06-28,"1900 BLK BERTHA AVE, CERRITOS, CA 90703",Cerritos,euthanasia,ill severe,33.8505009,-118.0805521,Alive on Intake,TRUE,0,"33.8505009, -118.0805521"
A699084,*katze,cat,white,NA,Female,2023-01-19,2023-05-19,injured  mild,stray,otc,NA,2023-06-15,"1000 BLK LIME AVE. LONG BEACH, CA 90813",Long Beach,adoption,NA,33.7789839,-118.183959,Alive on Intake,FALSE,1,"33.7789839, -118.183959"
A684444,irene,cat,black,NA,Spayed,2018-09-19,2023-09-06,normal,welfare seized,owner died,NA,2023-09-28,"1000 BLK LINDEN AVE, LB 90813",Long Beach,adoption,web,33.7794251,-118.187322,Alive on Intake,FALSE,1,"33.7794251, -118.187322"
A703126,*glove world,cat,black,NA,Male,2023-06-19,2023-07-19,under age/weight,stray,field,NA,2023-07-27,1900 BLK CASPIAN,Long Beach,rescue,littlepaws,33.7916879,-118.2121803,Alive on Intake,FALSE,1,"33.7916879, -118.2121803"
A725495,NA,cat,black,NA,Female,2024-07-12,2024-07-25,under age/weight,stray,otc,NA,2024-09-17,1900 BLK CASPIAN AVE LONG BEACH CA 90810,Long Beach,rescue,other resc,33.7916879,-118.2121803,Alive on Intake,FALSE,1,"33.7916879, -118.2121803"
A587542,*alexa,cat,gray,white,Female,2016-03-25,2017-03-25,normal,stray,otc,NA,2017-04-01,"1000 BLK LOMA AVE, LONG BEACH, CA 90804",Long Beach,transfer,spcala,33.778962,-118.1502333,Alive on Intake,FALSE,1,"33.778962, -118.1502333"
A657312,*garfield,cat,orange tabby,NA,Neutered,2019-05-11,2021-05-11,ill mild,stray,field,NA,2021-05-28,"1900 BLK CEDAR AVE, LB 90806",Long Beach,adoption,web,33.7918539,-118.1948868,Alive on Intake,FALSE,1,"33.7918539, -118.1948868"
A657798,*buttercup,cat,black,brown,Spayed,2021-04-29,2021-05-23,under age/weight,stray,otc,NA,2021-07-25,"1000 BLK LONG BEACH BLVD, LONG BEACH, CA 90813",Long Beach,adoption,web,33.77897910000001,-118.1892889,Alive on Intake,FALSE,1,"33.77897910000001, -118.1892889"
A611465,NA,cat,black,NA,Male,2018-06-28,2018-07-22,under age/weight,stray,otc,NA,2018-07-26,"1900 BLK CEDAR AVE, LONG BEACH, CA 90806",Long Beach,rescue,littlelion,33.7918539,-118.1948868,Alive on Intake,FALSE,1,"33.7918539, -118.1948868"
A681502,*christos,cat,black,white,Male,2021-08-05,2022-08-05,normal,stray,otc,NA,2022-08-27,"1000 BLK LONG BEACH BLVD, LONG BEACH, CA 90813",Long Beach,adoption,NA,33.77897910000001,-118.1892889,Alive on Intake,FALSE,1,"33.77897910000001, -118.1892889"
A731036,*callie,cat,calico,NA,Spayed,2024-09-23,2024-10-23,under age/weight,stray,otc,NA,2024-12-11,"1000 BLK MAGNOLIA AVE, LONG BEACH 90813",Long Beach,adoption,web,33.778976,-118.1980414,Alive on Intake,FALSE,1,"33.778976, -118.1980414"
A680583,NA,cat,brown  tabby,NA,Unknown,2022-06-25,2022-07-22,ill severe,stray,field,NA,2022-07-22,"1900 BLK CEDAR AVE, LONG BEACH, CA 90806",Long Beach,died,enroute,33.7918539,-118.1948868,Alive on Intake,TRUE,0,"33.7918539, -118.1948868"
A592328,*dobby,cat,brown  tabby,NA,Male,2017-06-10,2017-06-23,under age/weight,stray,otc,NA,2017-07-12,"1900 BLK CEDAR AVE, LONG BEACH, CA 90806",Long Beach,transfer,irvine acc,33.7918539,-118.1948868,Alive on Intake,FALSE,1,"33.7918539, -118.1948868"
A657634,NA,cat,gray,white,Male,2021-04-23,2021-05-20,under age/weight,stray,otc,NA,2021-05-20,"1000 BLK MAHANNA AVE, LONG BEACH, CA 90813",Long Beach,rescue,apawsitive,33.7789712,-118.1745633,Alive on Intake,FALSE,1,"33.7789712, -118.1745633"
A641089,moxie,cat,calico,NA,Spayed,2019-08-25,2019-09-14,under age/weight,stray,otc,NA,2019-10-06,"1900 BLK CEDAR AVE, LONG BEACH, CA 90806",Long Beach,adoption,walkin,33.7918539,-118.1948868,Alive on Intake,FALSE,1,"33.7918539, -118.1948868"
A730223,*tabletop,cat,gray tabby,black,Neutered,2020-10-24,2024-10-15,ill mild,stray,field,NA,2024-10-26,"1900 BLK CEDAR AVE, LONG BEACH, CA 90806",Long Beach,community cat,friendly,33.7918539,-118.1948868,Alive on Intake,FALSE,1,"33.7918539, -118.1948868"
A688885,*cornbread,cat,white,gray,Male,2022-10-21,2022-11-17,ill mild,stray,field,NA,2022-12-21,"1900 BLK CEDAR AVE, LONG BEACH, CA 90806",Long Beach,adoption,NA,33.7918539,-118.1948868,Alive on Intake,FALSE,1,"33.7918539, -118.1948868"
A646212,NA,cat,brown  tabby,white,Unknown,2020-07-23,2020-07-25,under age/weight,stray,otc,NA,2020-07-25,"1000 BLK MAHANNA AVE, LONG BEACH, CA 90813",Long Beach,rescue,littlepaws,33.7789712,-118.1745633,Alive on Intake,FALSE,1,"33.7789712, -118.1745633"
A681003,elaine,cat,gray,white,Spayed,2022-06-28,2022-07-28,under age/weight,stray,otc,NA,2022-08-24,"1900 BLK CEDAR AVE, LONG BEACH, CA 90806",Long Beach,adoption,web,33.7918539,-118.1948868,Alive on Intake,FALSE,1,"33.7918539, -118.1948868"
A727050,boppidity,cat,black,white,Male,2024-08-11,2024-08-17,under age/weight,stray,otc,NA,2024-08-17,1000 BLK MARTIN LUTHER KING JR AVE LONG BEACH CA 90813,Long Beach,rescue,littlelion,33.778863,-118.1805306,Alive on Intake,FALSE,1,"33.778863, -118.1805306"
A708882,*kappa,cat,gray,white,Neutered,2023-09-24,2023-10-15,ill mild,stray,field,NA,2023-12-13,"1900 BLK CEDAR AVE, LONG BEACH, CA 90806",Long Beach,adoption,web,33.7918539,-118.1948868,Alive on Intake,FALSE,1,"33.7918539, -118.1948868"
A727051,boo,cat,brown  tabby,NA,Female,2024-08-11,2024-08-17,under age/weight,stray,otc,NA,2024-08-17,1000 BLK MARTIN LUTHER KING JR AVE LONG BEACH CA 90813,Long Beach,rescue,littlelion,33.778863,-118.1805306,Alive on Intake,FALSE,1,"33.778863, -118.1805306"
A681004,*dandelion,cat,gray,white,Neutered,2022-06-28,2022-07-28,under age/weight,stray,otc,NA,2022-09-18,"1900 BLK CEDAR AVE, LONG BEACH, CA 90806",Long Beach,adoption,web,33.7918539,-118.1948868,Alive on Intake,FALSE,1,"33.7918539, -118.1948868"
A657819,andy,cat,black,NA,Male,2021-04-23,2021-05-23,under age/weight,stray,otc,NA,2021-07-02,"1000 BLK MARTIN LUTHER KING JR AVE, LONG BEACH, CA 90813",Long Beach,rescue,littlelion,33.778863,-118.1805306,Alive on Intake,FALSE,1,"33.778863, -118.1805306"
A681011,*palmer,cat,gray tabby,white,Neutered,2022-06-28,2022-07-28,under age/weight,stray,otc,NA,2022-08-31,"1900 BLK CEDAR AVE, LONG BEACH, CA 90806",Long Beach,adoption,web,33.7918539,-118.1948868,Alive on Intake,FALSE,1,"33.7918539, -118.1948868"
A657817,*zuko,cat,white,black,Male,2021-04-23,2021-05-23,under age/weight,stray,otc,NA,2021-06-23,"1000 BLK MARTIN LUTHER KING JR AVE, LONG BEACH, CA 90813",Long Beach,died,in kennel,33.778863,-118.1805306,Alive on Intake,TRUE,0,"33.778863, -118.1805306"
A657240,bella,cat,gray tabby,NA,Spayed,2020-05-09,2021-05-09,normal,owner surrender,field,NA,2021-06-09,"1900 BLK CEDAR AVE, LONG BEACH, CA 90806",Long Beach,return to owner,walkin,33.7918539,-118.1948868,Alive on Intake,FALSE,1,"33.7918539, -118.1948868"
A704387,*oreo,cat,black,white,Male,2023-07-08,2023-08-06,injured  moderate,stray,otc,NA,2023-09-13,1900 BLK CHERRY AVE LONG BEACH CA 90806,Long Beach,adoption,NA,33.7918505,-118.167334,Alive on Intake,FALSE,1,"33.7918505, -118.167334"
A670227,mando,cat,lilac point,NA,Male,2021-09-05,2022-02-05,behavior  moderate,owner surrender,otc,bites,2022-02-16,"1000 BLK MCKINNEY WAY, SEAL BEACH, CA 90740",Seal Beach,return to owner,walkin,33.770438,-118.0806132,Alive on Intake,FALSE,1,"33.770438, -118.0806132"
A626448,*darth vader,cat,black,NA,Neutered,2019-03-22,2019-05-15,under age/weight,stray,otc,NA,2019-05-21,"1000 BLK MOLINO AVE, LONG BEACH, CA 90804",Long Beach,adoption,remote evt,33.7791148,-118.1609526,Alive on Intake,FALSE,1,"33.7791148, -118.1609526"
A678808,*petree,cat,white,NA,Male,2022-06-03,2022-07-03,under age/weight,stray,otc,NA,2022-07-16,"1900 BLK CHESTNUT AVE, LONG BEACH, CA 90806",Long Beach,adoption,NA,33.7918406,-118.1960749,Alive on Intake,FALSE,1,"33.7918406, -118.1960749"
A626447,*ewok,cat,black,white,Male,2019-03-22,2019-05-15,normal,stray,otc,NA,2019-05-19,"1000 BLK MOLINO AVE, LONG BEACH, CA 90804",Long Beach,transfer,spcala,33.7791148,-118.1609526,Alive on Intake,FALSE,1,"33.7791148, -118.1609526"
A660448,*cowboy,cat,white,gray,Neutered,2013-07-14,2021-07-14,ill moderatete,stray,field,NA,2021-09-15,"1900 BLK CHESTNUT AVE, LONG BEACH, CA 90806",Long Beach,community cat,NA,33.7918406,-118.1960749,Alive on Intake,FALSE,1,"33.7918406, -118.1960749"
A650504,NA,cat,calico tabby,NA,Female,2020-10-18,2020-10-25,under age/weight,stray,otc,NA,2020-10-25,"1000 BLK MYRTLE AVE, LONG BEACH, CA 90813",Long Beach,rescue,catpaws,33.7789718,-118.1817845,Alive on Intake,FALSE,1,"33.7789718, -118.1817845"
A629821,miko,cat,black,NA,Male,2019-05-12,2019-07-12,normal,owner surrender,otc,NA,2020-02-07,"1900 BLK CHESTNUT AVE, LONG BEACH, CA 90806",Long Beach,adoption,pfe/pawshp,33.7918406,-118.1960749,Alive on Intake,FALSE,1,"33.7918406, -118.1960749"
A678814,*partell,cat,white,NA,Male,2022-06-03,2022-07-03,under age/weight,stray,otc,NA,2022-07-15,"1900 BLK CHESTNUT AVE, LONG BEACH, CA 90806",Long Beach,adoption,NA,33.7918406,-118.1960749,Alive on Intake,FALSE,1,"33.7918406, -118.1960749"
A631131,NA,cat,black,NA,Male,2019-07-27,2019-08-02,under age/weight,stray,otc,NA,2019-08-21,"1000 BLK MYRTLE AVE, LONG BEACH, CA 90813",Long Beach,euthanasia,undrage/wt,33.7789718,-118.1817845,Alive on Intake,TRUE,0,"33.7789718, -118.1817845"
A604486,*sephora,cat,brown  tabby,white,Female,2017-08-04,2018-03-04,normal,stray,otc,NA,2018-03-07,"1900 BLK CONQUISTA AVE, LONG BEACH, CA 90815",Long Beach,rescue,other resc,33.7909806,-118.1088171,Alive on Intake,FALSE,1,"33.7909806, -118.1088171"
A656447,NA,cat,blue tabby,NA,Male,2021-03-25,2021-04-19,fractious,stray,otc,NA,2021-05-02,"1000 BLK N ALMOND CT, LONG BEACH, CA 90813",Long Beach,adoption,NA,33.7789711,-118.1751043,Alive on Intake,FALSE,1,"33.7789711, -118.1751043"
A656448,*kiki,cat,black,white,Spayed,2021-03-25,2021-04-19,fractious,stray,otc,NA,2021-04-29,"1000 BLK N ALMOND CT, LONG BEACH, CA 90813",Long Beach,adoption,NA,33.7789711,-118.1751043,Alive on Intake,FALSE,1,"33.7789711, -118.1751043"
A652231,gracie,cat,brown  tabby,NA,Spayed,2019-12-13,2020-12-13,injured  mild,stray,field,NA,2020-12-23,"1000 BLK N NORMAN CT, LONG BEACH, CA 90813",Long Beach,adoption,folba,33.7789717,-118.1757148,Alive on Intake,FALSE,1,"33.7789717, -118.1757148"
A584240,*gilly,cat,blue,NA,Neutered,2007-01-07,2017-01-07,normal,stray,otc,NA,2017-02-15,"1900 BLK DAWSON AVE, SIGNAL HILL, CA 90755",Signal Hill,adoption,spcala,33.7916878,-118.1654891,Alive on Intake,FALSE,1,"33.7916878, -118.1654891"
A591114,suri,cat,black,NA,Spayed,2016-06-01,2017-06-01,normal,owner surrender,otc,owner prob,2018-07-07,"1000 BLK OAK ST, LOS ALAMITOS, CA 90720",Los Alamitos,rescue,straycatal,33.8054312,-118.0757934,Alive on Intake,FALSE,1,"33.8054312, -118.0757934"
A693741,lulu,cat,brown  tabby,white,Female,2022-02-22,2023-02-22,normal,owner surrender,otc,owner prob,2023-02-23,"1000 BLK OBISPO AVE, LB CA 90804",Long Beach,transfer,spcala,33.778969,-118.1545877,Alive on Intake,FALSE,1,"33.778969, -118.1545877"
A659770,NA,cat,gray,white,Female,2021-05-18,2021-07-02,injured  severe,stray,field,NA,2021-07-02,"1000 BLK OBISPO AVE, LONG BEACH, CA 90804",Long Beach,euthanasia,inj severe,33.778969,-118.1545877,Alive on Intake,TRUE,0,"33.778969, -118.1545877"
A588010,claymore,cat,brown  tabby,NA,Neutered,2014-04-02,2017-04-02,injured  moderate,stray,field,NA,2017-04-24,"1000 BLK OBISPO AVE, LONG BEACH, CA 90804",Long Beach,rescue,livelove,33.778969,-118.1545877,Alive on Intake,FALSE,1,"33.778969, -118.1545877"
A643458,NA,cat,white,orange,Male,2020-04-19,2020-06-04,under age/weight,stray,otc,NA,2020-06-10,"1900 BLK E 15TH ST, LONG BEACH, CA 90813",Long Beach,rescue,fndanifoun,33.7862278,-118.1687299,Alive on Intake,FALSE,1,"33.7862278, -118.1687299"
A683654,*brad,cat,black,white,Male,2022-08-22,2022-09-10,ill mild,stray,otc,NA,2022-09-11,"1000 BLK OBISPO AVE, LONG BEACH, CA 90804",Long Beach,rescue,catpaws,33.778969,-118.1545877,Alive on Intake,FALSE,1,"33.778969, -118.1545877"
A683656,*bryce,cat,gray tabby,NA,Male,2022-08-22,2022-09-10,ill mild,stray,otc,NA,2022-09-11,"1000 BLK OBISPO AVE, LONG BEACH, CA 90804",Long Beach,rescue,catpaws,33.778969,-118.1545877,Alive on Intake,FALSE,1,"33.778969, -118.1545877"
A600821,NA,cat,white,flame point,Male,2017-10-07,2017-12-07,normal,stray,otc,NA,2017-12-07,"1900 BLK E 15TH ST, LONG BEACH, CA 90813",Long Beach,euthanasia,ill severe,33.7862278,-118.1687299,Alive on Intake,TRUE,0,"33.7862278, -118.1687299"
A662401,*honey,cat,tortie,NA,Spayed,2018-08-25,2021-08-25,normal,stray,otc,NA,2021-09-23,"1000 BLK OHIO AVE, LONG BEACH, CA 90804",Long Beach,adoption,web,33.7789905,-118.1600543,Alive on Intake,FALSE,1,"33.7789905, -118.1600543"
A645932,NA,cat,orange tabby,NA,Male,2020-06-29,2020-07-19,under age/weight,stray,field,NA,2020-07-21,"1900 BLK E 15TH ST, LONG BEACH, CA 90813",Long Beach,rescue,littlepaws,33.7862278,-118.1687299,Alive on Intake,FALSE,1,"33.7862278, -118.1687299"
A662403,*starburst,cat,orange,NA,Spayed,2021-05-25,2021-08-25,normal,stray,otc,NA,2021-09-30,"1000 BLK OHIO AVE, LONG BEACH, CA 90804",Long Beach,foster to adopt,NA,33.7789905,-118.1600543,Alive on Intake,FALSE,1,"33.7789905, -118.1600543"
A680829,*cloudy,cat,brown  tabby,NA,Male,2022-06-27,2022-07-25,under age/weight,stray,field,NA,2022-07-31,"1000 BLK ORANGE AVE, LONG BEACH, CA 90813",Long Beach,rescue,catpaws,33.7791565,-118.1760129,Alive on Intake,FALSE,1,"33.7791565, -118.1760129"
A695247,*ori kitten 1,cat,gray,NA,Spayed,2023-03-20,2023-03-23,under age/weight,stray,otc,NA,2023-03-24,"1000 BLK ORIZABA AVE, LONG BEACH, CA 90804",Long Beach,rescue,littlepaws,33.7789857,-118.1567601,Alive on Intake,FALSE,1,"33.7789857, -118.1567601"
A663068,NA,cat,black,white,Male,2021-08-26,2021-09-01,under age/weight,stray,field,NA,2021-09-01,"1000 BLK ORIZABA AVE, LONG BEACH, CA 90804",Long Beach,rescue,littlepaws,33.7789857,-118.1567601,Alive on Intake,FALSE,1,"33.7789857, -118.1567601"
A695246,*ori momma cat,cat,gray,NA,Female,2021-03-23,2023-03-23,normal,stray,otc,NA,2023-03-24,"1000 BLK ORIZABA AVE, LONG BEACH, CA 90804",Long Beach,rescue,littlelion,33.7789857,-118.1567601,Alive on Intake,FALSE,1,"33.7789857, -118.1567601"
A697701,peggy,cat,calico dilute,NA,Spayed,2022-04-28,2023-04-28,normal,stray,otc,NA,2023-05-03,"1900 BLK E 64TH. ST LONG BEACH, CA 90805",Long Beach,community cat,NA,33.8707611,-118.1695313,Alive on Intake,FALSE,1,"33.8707611, -118.1695313"
A663149,NA,cat,black,white,Unknown,2021-08-27,2021-09-02,under age/weight,stray,field,NA,2022-06-26,"1000 BLK ORIZABA AVE, LONG BEACH, CA 90804",Long Beach,missing,in kennel,33.7789857,-118.1567601,Alive on Intake,FALSE,1,"33.7789857, -118.1567601"
A589399,NA,cat,black,NA,Female,2017-03-28,2017-04-28,under age/weight,stray,otc,NA,2017-05-12,"1900 BLK E 68TH ST, LONG BEACH, CA 90805",Long Beach,euthanasia,undrage/wt,33.8782719,-118.1697648,Alive on Intake,TRUE,0,"33.8782719, -118.1697648"
A665925,*,cat,calico dilute,NA,Female,2021-02-28,2021-10-28,normal,welfare seized,hospital,NA,2021-11-05,"1000 BLK PACIFIC AVE, LONG BEACH, CA 90813",Long Beach,return to rescue,other resc,33.7789911,-118.1934664,Alive on Intake,FALSE,1,"33.7789911, -118.1934664"
A590762,NA,cat,gray,NA,Female,2017-04-10,2017-05-25,under age/weight,stray,otc,NA,2017-05-26,"1900 BLK E 68TH ST, LONG BEACH, CA 90805",Long Beach,rescue,littlelion,33.8782719,-118.1697648,Alive on Intake,FALSE,1,"33.8782719, -118.1697648"
A665923,*,cat,calico dilute,NA,Female,2019-10-28,2021-10-28,normal,welfare seized,hospital,NA,2021-11-10,"1000 BLK PACIFIC AVE, LONG BEACH, CA 90813",Long Beach,return to rescue,other resc,33.7789911,-118.1934664,Alive on Intake,FALSE,1,"33.7789911, -118.1934664"
A673222,luna,cat,gray tabby,NA,Spayed,2022-04-02,2022-04-16,under age/weight,stray,field,NA,2022-06-24,"1900 BLK E GEMINI ST, LONG BEACH, CA 90810",Long Beach,adoption,web,33.79808939999999,-118.2176412,Alive on Intake,FALSE,1,"33.79808939999999, -118.2176412"
A596721,NA,cat,brown  tabby,NA,Male,2017-08-15,2017-09-08,under age/weight,stray,otc,NA,2017-09-14,"1000 BLK PACIFIC AVE, LONG BEACH, CA 90813",Long Beach,rescue,fndanifoun,33.7789911,-118.1934664,Alive on Intake,FALSE,1,"33.7789911, -118.1934664"
A590388,*jello puddin,cat,black,white,Spayed,2015-05-17,2017-05-17,normal,stray,otc,NA,2017-06-14,"1900 BLK E MCKENZIE ST, LONG BEACH, CA 90805",Long Beach,transfer,spcala,33.8717045,-118.1695724,Alive on Intake,FALSE,1,"33.8717045, -118.1695724"
A665928,*,cat,calico tabby,NA,Female,2021-02-28,2021-10-28,normal,welfare seized,hospital,NA,2021-11-05,"1000 BLK PACIFIC AVE, LONG BEACH, CA 90813",Long Beach,return to rescue,other resc,33.7789911,-118.1934664,Alive on Intake,FALSE,1,"33.7789911, -118.1934664"
A663726,elliott,cat,orange tabby,NA,Neutered,2019-08-03,2021-10-28,normal,welfare seized,hospital,NA,2021-11-14,"1000 BLK PACIFIC AVE, LONG BEACH, CA 90813",Long Beach,return to owner,walkin,33.7789911,-118.1934664,Alive on Intake,FALSE,1,"33.7789911, -118.1934664"
A665922,kobe,cat,black,white,Neutered,2021-04-28,2021-10-28,normal,welfare seized,hospital,NA,2021-12-22,"1000 BLK PACIFIC AVE, LONG BEACH, CA 90813",Long Beach,adoption,web,33.7789911,-118.1934664,Alive on Intake,FALSE,1,"33.7789911, -118.1934664"
A694703,*hunter,cat,gray,NA,Neutered,2021-03-15,2023-03-15,normal,stray,otc,NA,2023-03-18,"1900 BLK E. ANAHEIM ST, LONG BEACH, CA 90813",Long Beach,adoption,web,33.7823119,-118.1685627,Alive on Intake,FALSE,1,"33.7823119, -118.1685627"
